Conflict_ID,Region,Conflict_Type,Start_Date,End_Date,Number_of_Incidents,Number_of_Deaths,Intervention_ID,Intervention_Country,Intervention_Organization,Intervention_Type,Intervention_Start_Date,Intervention_End_Date,Intervention_Success,Country,Population,GDP_Per_Capita,Unemployment_Rate,Poverty_Index,Literacy_Rate,Ethnic_Group,Main_Religion,Ethnic_Religious_Tension,Number_of_Conflicts,Last_Conflict_Date,Corruption_Index,Governance_Quality,Government_Transparency,Number_of_Scandals,Number_of_Displaced_People,Number_of_Refugees,Humanitarian_Needs,Access_to_Humanitarian_Aid,Technology_Use_in_Conflicts,Technological_Investment,Number_of_Data_Analysis_Projects,Data_Analysis_Effectiveness
1665,Afghanistan,civil war,2014-07-23,,88,1,1665,Iran,Red Cross,diplomatic,2014-07-23,2023-01-01,no,Syria,18850439,17101,28.65,24.13,58.92,Kurd,Christianity,medium,14,2024-07-22,2.62,4,3,3,4767171,2576239,medicine,medium,high,13,11,9
1666,Syria,terrorism,2014-07-24,2023-01-01,75,61,1666,Afghanistan,UN,military,2014-07-24,,yes,Syria,32966141,22549,18.34,42.75,67.44,Persian,Sunni Islam,medium,7,2024-07-23,7.67,8,9,1,3278300,1362161,medicine,medium,low,11,11,8
1667,Yemen,terrorism,2014-07-25,,33,393,1667,Iran,NATO,military,2014-07-25,,partial,Syria,22466267,1230,21.71,42.0,92.27,Persian,Sunni Islam,low,11,2024-07-24,5.71,1,7,6,4631423,167960,water,high,low,8,28,3
1668,Yemen,terrorism,2014-07-26,2023-01-01,31,348,1668,Afghanistan,UN,military,2014-07-26,2023-01-01,no,Yemen,11431830,23328,26.33,44.49,74.58,Turkoman,Christianity,low,14,2024-07-25,4.75,3,8,3,556263,614449,medicine,medium,high,19,26,4
1669,Syria,terrorism,2014-07-27,2023-01-01,2,50,1669,Iraq,NATO,military,2014-07-27,2023-01-01,no,Iran,4078427,19493,29.17,10.0,53.73,Kurd,Christianity,high,8,2024-07-26,3.89,4,9,9,907102,1562734,shelter,low,medium,1,34,6
1670,Syria,territorial conflict,2014-07-28,2023-01-01,69,465,1670,Iraq,NATO,humanitarian,2014-07-28,,partial,Afghanistan,13272919,33149,40.6,10.09,75.65,Persian,Christianity,high,4,2024-07-27,8.82,1,2,2,1299928,11793,shelter,high,low,51,46,3
1671,Iraq,territorial conflict,2014-07-29,2023-01-01,95,774,1671,Afghanistan,Red Cross,diplomatic,2014-07-29,2023-01-01,no,Iran,34660696,17145,22.58,45.87,86.64,Kurd,Sunni Islam,low,5,2024-07-28,7.34,8,3,3,4305094,1566565,water,high,medium,19,38,6
1672,Syria,civil war,2014-07-30,2023-01-01,83,357,1672,Yemen,Red Cross,humanitarian,2014-07-30,,no,Iran,18209874,43039,32.47,36.66,52.1,Persian,Christianity,high,8,2024-07-29,1.08,9,3,7,223720,896112,shelter,high,low,16,37,3
1673,Afghanistan,terrorism,2014-07-31,,51,267,1673,Iran,Red Cross,military,2014-07-31,2023-01-01,yes,Syria,17946217,42742,7.95,14.9,62.16,Baluchi,Shia Islam,medium,15,2024-07-30,6.31,6,4,6,4690050,1426453,water,high,high,65,26,7
1674,Syria,civil war,2014-08-01,2023-01-01,55,526,1674,Syria,Red Cross,humanitarian,2014-08-01,2023-01-01,partial,Afghanistan,16645668,3830,22.54,37.78,91.88,Turkoman,Christianity,medium,14,2024-07-31,7.53,4,6,6,1731995,825073,water,medium,low,87,39,8
1675,Iraq,terrorism,2014-08-02,2023-01-01,95,273,1675,Iran,Red Cross,diplomatic,2014-08-02,,partial,Afghanistan,9420709,47437,27.67,59.92,88.98,Arab,Christianity,high,2,2024-08-01,8.08,6,4,9,3634746,1306446,medicine,low,high,93,48,8
1676,Syria,terrorism,2014-08-03,2023-01-01,32,303,1676,Iraq,NATO,military,2014-08-03,,no,Afghanistan,5746264,13200,22.63,36.73,73.55,Baluchi,Christianity,low,9,2024-08-02,9.1,5,4,6,1882429,1043156,shelter,high,medium,21,23,3
1677,Afghanistan,civil war,2014-08-04,2023-01-01,47,648,1677,Syria,NATO,military,2014-08-04,2023-01-01,yes,Iraq,18824765,7552,27.19,16.86,81.25,Kurd,Shia Islam,low,1,2024-08-03,7.86,7,1,5,570243,460551,shelter,high,medium,67,25,2
1678,Afghanistan,civil war,2014-08-05,,36,977,1678,Iran,NATO,humanitarian,2014-08-05,,no,Syria,29370645,21216,43.77,33.26,95.45,Kurd,Sunni Islam,medium,5,2024-08-04,9.13,8,4,9,4629954,1277111,shelter,medium,low,94,7,8
1679,Afghanistan,civil war,2014-08-06,,90,338,1679,Iran,NATO,humanitarian,2014-08-06,,partial,Iraq,38763227,23608,9.42,50.99,66.24,Baluchi,Shia Islam,high,15,2024-08-05,9.73,4,8,1,2437582,167901,medicine,high,medium,87,12,8
1680,Iran,civil war,2014-08-07,2023-01-01,70,324,1680,Afghanistan,Red Cross,humanitarian,2014-08-07,,partial,Iraq,34435615,21790,10.9,50.99,96.69,Baluchi,Christianity,low,15,2024-08-06,2.52,6,1,9,599347,1929620,medicine,high,low,50,41,5
1681,Syria,civil war,2014-08-08,2023-01-01,8,118,1681,Iraq,Red Cross,military,2014-08-08,2023-01-01,partial,Yemen,23139915,48663,8.11,49.9,89.46,Persian,Sunni Islam,high,6,2024-08-07,3.4,6,4,1,453752,1790570,medicine,medium,low,93,21,7
1682,Iraq,territorial conflict,2014-08-09,2023-01-01,73,585,1682,Afghanistan,Red Cross,humanitarian,2014-08-09,,no,Yemen,33148380,21071,5.7,16.53,92.33,Arab,Sunni Islam,high,9,2024-08-08,8.76,9,3,8,3965319,1336550,water,medium,high,67,21,7
1683,Afghanistan,territorial conflict,2014-08-10,,38,836,1683,Syria,UN,military,2014-08-10,2023-01-01,yes,Yemen,28734565,42384,5.01,8.85,83.83,Arab,Sunni Islam,low,1,2024-08-09,1.91,8,3,2,1741090,505088,food,medium,high,17,9,2
1684,Yemen,terrorism,2014-08-11,,24,606,1684,Iran,Red Cross,diplomatic,2014-08-11,,no,Yemen,23070008,8788,24.29,28.35,94.6,Arab,Shia Islam,low,15,2024-08-10,1.97,4,4,4,664915,2461684,medicine,low,low,76,28,2
1685,Syria,territorial conflict,2014-08-12,2023-01-01,54,17,1685,Afghanistan,UN,diplomatic,2014-08-12,,yes,Iraq,31117415,33049,36.04,40.05,97.12,Kurd,Shia Islam,high,19,2024-08-11,4.78,5,6,0,4386200,1608093,medicine,low,high,40,10,5
1686,Syria,terrorism,2014-08-13,,63,456,1686,Iraq,NATO,diplomatic,2014-08-13,2023-01-01,partial,Syria,28582538,8139,9.65,47.09,79.5,Turkoman,Christianity,medium,3,2024-08-12,8.82,7,6,2,2647549,1117955,medicine,high,low,54,12,9
1687,Iran,civil war,2014-08-14,2023-01-01,54,213,1687,Syria,Red Cross,diplomatic,2014-08-14,,no,Iraq,23638816,12458,19.71,42.96,92.68,Turkoman,Christianity,low,6,2024-08-13,3.78,3,8,4,2395594,1661202,shelter,low,high,29,46,7
1688,Yemen,terrorism,2014-08-15,2023-01-01,77,246,1688,Syria,Red Cross,military,2014-08-15,2023-01-01,yes,Iraq,23848476,28427,15.35,54.07,62.08,Persian,Christianity,medium,4,2024-08-14,2.13,6,2,3,1353349,2343129,water,high,low,53,18,5
1689,Iraq,territorial conflict,2014-08-16,,22,334,1689,Syria,Red Cross,military,2014-08-16,2023-01-01,no,Iraq,10322971,45497,44.96,33.46,57.74,Arab,Shia Islam,low,15,2024-08-15,9.92,1,1,2,3019731,410644,shelter,high,low,14,44,7
1690,Iraq,terrorism,2014-08-17,,81,625,1690,Iran,Red Cross,diplomatic,2014-08-17,,yes,Afghanistan,26821766,5579,36.13,9.01,70.75,Arab,Sunni Islam,high,2,2024-08-16,5.78,6,7,2,1276722,1613954,shelter,low,high,3,5,8
1691,Iran,civil war,2014-08-18,,74,267,1691,Syria,UN,military,2014-08-18,,partial,Yemen,31988848,28857,48.98,5.35,72.26,Baluchi,Shia Islam,medium,6,2024-08-17,9.33,8,3,3,442918,2004885,shelter,low,low,95,3,1
1692,Iran,territorial conflict,2014-08-19,,87,992,1692,Iraq,NATO,humanitarian,2014-08-19,,partial,Syria,18619348,4911,18.4,37.18,71.71,Arab,Christianity,high,13,2024-08-18,8.52,3,3,7,2943837,334251,food,medium,high,14,8,7
1693,Iraq,civil war,2014-08-20,2023-01-01,21,458,1693,Yemen,NATO,diplomatic,2014-08-20,2023-01-01,partial,Yemen,6308328,42158,13.29,55.0,71.74,Baluchi,Shia Islam,low,16,2024-08-19,7.98,4,3,0,4250699,2657250,food,high,high,62,9,5
1694,Syria,civil war,2014-08-21,,63,849,1694,Syria,UN,military,2014-08-21,2023-01-01,yes,Iran,2068073,20081,25.3,8.77,72.54,Persian,Christianity,high,10,2024-08-20,7.34,2,9,9,1987513,1765020,water,medium,medium,85,45,5
1695,Afghanistan,territorial conflict,2014-08-22,2023-01-01,12,575,1695,Afghanistan,Red Cross,military,2014-08-22,2023-01-01,partial,Iran,3235759,32671,5.74,5.29,94.66,Persian,Shia Islam,high,18,2024-08-21,8.66,6,6,6,1869603,2081425,medicine,medium,low,58,6,2
1696,Yemen,territorial conflict,2014-08-23,2023-01-01,6,8,1696,Afghanistan,Red Cross,humanitarian,2014-08-23,2023-01-01,yes,Yemen,34126094,24469,19.81,21.28,52.24,Baluchi,Christianity,low,19,2024-08-22,1.7,7,9,4,2417478,1814176,food,high,low,14,23,3
1697,Iran,civil war,2014-08-24,,50,208,1697,Afghanistan,Red Cross,military,2014-08-24,2023-01-01,yes,Iran,2437434,9328,33.39,57.73,51.05,Arab,Sunni Islam,medium,12,2024-08-23,8.25,4,8,8,2342875,756838,shelter,high,medium,21,49,3
1698,Iran,territorial conflict,2014-08-25,2023-01-01,11,590,1698,Iran,NATO,diplomatic,2014-08-25,2023-01-01,yes,Syria,39955642,22272,43.24,17.18,77.07,Persian,Shia Islam,low,7,2024-08-24,3.25,6,4,6,4543970,2017693,food,high,low,40,9,3
1699,Yemen,territorial conflict,2014-08-26,2023-01-01,79,3,1699,Syria,NATO,military,2014-08-26,2023-01-01,no,Yemen,4009502,40560,30.01,13.94,76.48,Baluchi,Christianity,high,2,2024-08-25,7.13,5,5,4,3212010,1237579,water,high,low,92,8,7
1700,Syria,territorial conflict,2014-08-27,2023-01-01,47,203,1700,Yemen,UN,diplomatic,2014-08-27,2023-01-01,yes,Yemen,31818137,32567,10.32,6.8,94.03,Turkoman,Shia Islam,low,4,2024-08-26,7.49,8,9,1,3143783,582166,medicine,medium,high,93,31,6
1701,Syria,terrorism,2014-08-28,2023-01-01,12,12,1701,Yemen,UN,diplomatic,2014-08-28,,partial,Afghanistan,26558507,12096,21.16,54.39,87.36,Persian,Christianity,high,14,2024-08-27,6.47,7,3,8,4218916,2881829,water,high,medium,26,41,6
1702,Afghanistan,terrorism,2014-08-29,2023-01-01,43,967,1702,Iran,Red Cross,diplomatic,2014-08-29,,no,Yemen,35649377,32981,44.34,19.82,66.93,Kurd,Christianity,high,0,2024-08-28,5.5,8,1,0,3961999,286554,water,high,low,23,3,3
1703,Iraq,civil war,2014-08-30,,42,842,1703,Syria,NATO,diplomatic,2014-08-30,2023-01-01,partial,Yemen,38862833,30864,36.86,8.51,80.92,Persian,Sunni Islam,low,4,2024-08-29,9.19,1,9,0,4423416,1956319,medicine,medium,high,92,14,8
1704,Syria,terrorism,2014-08-31,2023-01-01,71,889,1704,Afghanistan,NATO,diplomatic,2014-08-31,2023-01-01,yes,Syria,16259846,39578,5.1,18.05,73.06,Persian,Christianity,low,6,2024-08-30,8.23,4,2,1,109326,633210,food,medium,low,29,39,7
1705,Afghanistan,terrorism,2014-09-01,,61,71,1705,Afghanistan,Red Cross,humanitarian,2014-09-01,2023-01-01,yes,Afghanistan,8498537,16132,40.33,52.32,92.78,Turkoman,Christianity,high,10,2024-08-31,4.31,9,2,8,1222278,87587,medicine,high,low,43,36,9
1706,Iraq,civil war,2014-09-02,,99,897,1706,Syria,NATO,military,2014-09-02,2023-01-01,yes,Yemen,28075909,37549,43.98,55.24,88.27,Baluchi,Sunni Islam,medium,0,2024-09-01,6.3,3,2,9,1114661,444618,water,high,low,16,4,8
1707,Afghanistan,territorial conflict,2014-09-03,,77,851,1707,Afghanistan,Red Cross,diplomatic,2014-09-03,,no,Iran,5654311,26441,28.14,37.68,85.35,Arab,Sunni Islam,medium,2,2024-09-02,6.18,1,5,3,1923881,2097965,food,medium,low,80,42,2
1708,Iraq,civil war,2014-09-04,2023-01-01,68,831,1708,Afghanistan,UN,humanitarian,2014-09-04,2023-01-01,no,Syria,29927893,10126,39.31,55.14,51.17,Arab,Christianity,medium,6,2024-09-03,4.15,2,6,4,750267,1042233,water,medium,medium,43,13,7
1709,Iran,terrorism,2014-09-05,,44,71,1709,Iran,NATO,military,2014-09-05,,yes,Iraq,30352388,37452,10.09,44.01,82.72,Turkoman,Sunni Islam,medium,16,2024-09-04,5.99,9,7,6,2010124,2102413,water,medium,medium,79,11,7
1710,Iran,terrorism,2014-09-06,2023-01-01,31,650,1710,Iraq,UN,military,2014-09-06,2023-01-01,yes,Yemen,15493984,16779,42.3,53.12,84.7,Kurd,Sunni Islam,medium,12,2024-09-05,6.14,4,8,8,2761792,2873709,shelter,high,low,68,15,8
1711,Iraq,territorial conflict,2014-09-07,2023-01-01,21,574,1711,Iran,UN,diplomatic,2014-09-07,,yes,Yemen,30528434,17072,45.31,12.49,81.97,Turkoman,Sunni Islam,high,15,2024-09-06,9.15,4,1,0,470848,384939,medicine,medium,high,26,3,8
1712,Syria,terrorism,2014-09-08,2023-01-01,25,635,1712,Yemen,Red Cross,humanitarian,2014-09-08,,no,Iraq,14960492,20849,6.16,20.81,71.94,Baluchi,Sunni Islam,high,2,2024-09-07,3.41,8,8,0,3002761,2045352,shelter,high,medium,95,28,2
1713,Iran,territorial conflict,2014-09-09,2023-01-01,20,745,1713,Iraq,UN,diplomatic,2014-09-09,2023-01-01,yes,Iran,33668619,46354,16.51,43.36,57.49,Persian,Christianity,medium,6,2024-09-08,2.2,1,7,6,4580945,2301238,shelter,medium,low,11,35,3
1714,Iran,terrorism,2014-09-10,,57,56,1714,Syria,UN,military,2014-09-10,,yes,Afghanistan,32279885,15612,9.49,43.48,96.86,Turkoman,Sunni Islam,low,18,2024-09-09,2.61,7,4,1,2782607,643088,shelter,low,high,42,47,7
1715,Iraq,civil war,2014-09-11,,38,802,1715,Afghanistan,UN,military,2014-09-11,2023-01-01,partial,Yemen,29601006,11504,35.96,30.71,61.87,Persian,Sunni Islam,low,3,2024-09-10,1.49,6,2,3,4515186,815375,medicine,medium,low,49,22,4
1716,Iraq,territorial conflict,2014-09-12,,29,946,1716,Yemen,Red Cross,diplomatic,2014-09-12,2023-01-01,partial,Iraq,4129853,28020,46.26,52.15,70.56,Turkoman,Shia Islam,low,15,2024-09-11,6.44,6,5,8,3639023,1098387,medicine,high,low,2,43,1
1717,Iraq,civil war,2014-09-13,,2,979,1717,Afghanistan,UN,diplomatic,2014-09-13,,no,Yemen,13302523,11352,14.67,45.57,88.38,Turkoman,Christianity,low,19,2024-09-12,7.56,4,6,1,4219838,1423894,food,low,medium,49,2,7
1718,Syria,terrorism,2014-09-14,,62,690,1718,Afghanistan,Red Cross,diplomatic,2014-09-14,2023-01-01,yes,Yemen,5302927,3205,18.15,39.61,94.61,Arab,Christianity,medium,2,2024-09-13,7.07,4,1,9,2086289,1340437,medicine,low,low,50,40,3
1719,Syria,civil war,2014-09-15,2023-01-01,63,692,1719,Iraq,Red Cross,humanitarian,2014-09-15,2023-01-01,no,Iraq,19465946,45743,28.18,25.38,86.15,Arab,Shia Islam,high,5,2024-09-14,5.94,9,5,8,1497370,83820,shelter,medium,high,31,19,5
1720,Iraq,terrorism,2014-09-16,2023-01-01,29,256,1720,Syria,NATO,military,2014-09-16,,no,Iraq,16714441,42819,14.81,20.94,83.7,Turkoman,Christianity,medium,17,2024-09-15,1.81,5,7,4,2393318,2507079,shelter,medium,medium,54,24,1
1721,Iran,civil war,2014-09-17,,26,411,1721,Syria,UN,humanitarian,2014-09-17,2023-01-01,partial,Iran,4065473,36180,31.51,57.7,56.05,Turkoman,Shia Islam,high,18,2024-09-16,7.32,6,7,8,70174,1781265,shelter,low,medium,20,16,8
1722,Iran,terrorism,2014-09-18,2023-01-01,42,418,1722,Iraq,Red Cross,military,2014-09-18,2023-01-01,no,Afghanistan,2853415,34879,9.69,5.26,53.86,Kurd,Shia Islam,high,6,2024-09-17,2.34,5,4,6,116754,1211208,food,low,medium,15,42,3
1723,Yemen,civil war,2014-09-19,2023-01-01,12,824,1723,Syria,NATO,military,2014-09-19,2023-01-01,no,Syria,33146231,18432,32.62,59.67,75.53,Persian,Sunni Islam,medium,10,2024-09-18,5.46,4,3,1,2361704,70884,shelter,medium,medium,97,45,1
1724,Iraq,territorial conflict,2014-09-20,2023-01-01,11,661,1724,Yemen,Red Cross,military,2014-09-20,2023-01-01,partial,Afghanistan,10430611,20113,49.64,49.01,66.34,Kurd,Christianity,low,1,2024-09-19,5.71,5,1,2,4879464,1033533,medicine,high,low,20,18,1
1725,Syria,civil war,2014-09-21,2023-01-01,36,924,1725,Syria,NATO,military,2014-09-21,2023-01-01,partial,Iran,15241460,18680,13.53,12.58,53.35,Persian,Shia Islam,high,9,2024-09-20,1.82,4,9,6,4626000,2373780,medicine,low,medium,42,33,3
1726,Afghanistan,territorial conflict,2014-09-22,,72,870,1726,Iran,UN,humanitarian,2014-09-22,,partial,Iraq,1954221,25201,14.1,50.48,67.46,Persian,Sunni Islam,medium,7,2024-09-21,8.71,4,6,3,4293586,2594332,water,low,medium,13,25,5
1727,Iran,terrorism,2014-09-23,2023-01-01,66,744,1727,Syria,NATO,humanitarian,2014-09-23,2023-01-01,yes,Yemen,9789997,18098,49.37,11.89,88.5,Arab,Christianity,low,8,2024-09-22,7.82,9,4,6,777235,1721042,medicine,high,high,69,40,6
1728,Iran,terrorism,2014-09-24,2023-01-01,11,416,1728,Afghanistan,NATO,diplomatic,2014-09-24,,yes,Afghanistan,35739112,37976,22.46,37.11,86.92,Kurd,Christianity,high,10,2024-09-23,1.04,2,4,8,2971140,1237520,shelter,medium,low,76,17,3
1729,Yemen,civil war,2014-09-25,,62,869,1729,Iraq,UN,diplomatic,2014-09-25,2023-01-01,no,Syria,10005132,35827,29.78,18.44,56.72,Baluchi,Sunni Islam,high,13,2024-09-24,3.01,8,7,4,1522622,1092885,water,medium,low,50,19,4
1730,Iran,terrorism,2014-09-26,2023-01-01,54,130,1730,Iraq,UN,diplomatic,2014-09-26,,no,Afghanistan,33308278,13210,30.11,19.91,83.57,Turkoman,Christianity,medium,1,2024-09-25,2.6,9,6,0,731637,2772939,food,medium,low,45,3,5
1731,Yemen,territorial conflict,2014-09-27,2023-01-01,11,550,1731,Iran,Red Cross,military,2014-09-27,,partial,Afghanistan,38513747,33716,11.7,48.89,67.25,Kurd,Christianity,high,14,2024-09-26,2.51,8,9,8,3491137,167861,shelter,medium,high,1,40,5
1732,Syria,territorial conflict,2014-09-28,2023-01-01,37,127,1732,Iran,Red Cross,diplomatic,2014-09-28,2023-01-01,no,Iraq,22681396,10273,8.63,18.04,61.87,Persian,Christianity,high,16,2024-09-27,5.89,1,1,2,2070480,341794,medicine,low,high,35,46,6
1733,Iran,civil war,2014-09-29,,72,305,1733,Iran,NATO,military,2014-09-29,2023-01-01,yes,Yemen,36199443,19154,12.59,40.02,55.89,Kurd,Shia Islam,low,4,2024-09-28,9.99,8,2,4,3105777,1789585,water,high,high,53,41,2
1734,Afghanistan,terrorism,2014-09-30,,45,178,1734,Iraq,NATO,diplomatic,2014-09-30,,yes,Syria,16956780,48134,32.73,38.1,54.01,Persian,Shia Islam,low,17,2024-09-29,7.12,8,4,7,2833918,1993809,food,low,high,39,37,2
1735,Iran,territorial conflict,2014-10-01,,26,574,1735,Afghanistan,NATO,diplomatic,2014-10-01,2023-01-01,no,Syria,16888662,6824,31.78,19.78,86.32,Turkoman,Sunni Islam,medium,9,2024-09-30,7.48,2,6,0,4920200,1727853,shelter,high,high,78,5,8
1736,Iraq,territorial conflict,2014-10-02,,79,221,1736,Afghanistan,Red Cross,diplomatic,2014-10-02,,yes,Syria,15487390,28259,41.11,31.63,54.95,Baluchi,Shia Islam,high,11,2024-10-01,6.07,1,1,0,4979152,1690882,medicine,medium,low,56,2,1
1737,Iran,civil war,2014-10-03,,80,372,1737,Syria,UN,humanitarian,2014-10-03,2023-01-01,yes,Afghanistan,22247408,1669,32.82,31.89,78.02,Turkoman,Sunni Islam,medium,7,2024-10-02,7.95,6,1,9,1961738,125824,water,medium,low,65,6,6
1738,Iraq,territorial conflict,2014-10-04,2023-01-01,15,271,1738,Afghanistan,UN,diplomatic,2014-10-04,,yes,Iran,20090325,25366,38.64,58.7,95.0,Arab,Christianity,high,11,2024-10-03,1.26,9,3,2,3960291,461469,water,medium,medium,80,24,2
1739,Iraq,civil war,2014-10-05,2023-01-01,20,734,1739,Syria,NATO,military,2014-10-05,,no,Afghanistan,30477040,8482,25.16,8.26,86.64,Kurd,Shia Islam,low,18,2024-10-04,7.55,4,5,4,2684448,1691528,medicine,medium,low,28,24,8
1740,Iraq,terrorism,2014-10-06,2023-01-01,96,209,1740,Afghanistan,NATO,humanitarian,2014-10-06,2023-01-01,partial,Syria,27369570,33227,14.36,50.84,91.96,Persian,Sunni Islam,high,19,2024-10-05,5.95,3,8,6,4087233,2375943,water,high,low,81,49,1
1741,Iran,territorial conflict,2014-10-07,2023-01-01,49,275,1741,Yemen,UN,diplomatic,2014-10-07,2023-01-01,no,Syria,39741160,6978,25.32,16.74,68.42,Baluchi,Shia Islam,medium,5,2024-10-06,1.34,3,4,5,1648873,421313,food,low,medium,63,7,2
1742,Syria,terrorism,2014-10-08,2023-01-01,49,503,1742,Afghanistan,UN,diplomatic,2014-10-08,2023-01-01,partial,Iran,9170130,33694,45.27,36.44,79.66,Kurd,Christianity,low,2,2024-10-07,4.99,5,6,5,2043885,1753628,water,medium,high,1,9,4
1743,Yemen,civil war,2014-10-09,2023-01-01,98,353,1743,Iraq,Red Cross,humanitarian,2014-10-09,,no,Iran,36413925,8947,48.49,42.07,89.48,Baluchi,Shia Islam,high,0,2024-10-08,6.52,3,2,6,3371041,1466998,medicine,medium,medium,3,46,2
1744,Iran,terrorism,2014-10-10,2023-01-01,49,988,1744,Iran,NATO,humanitarian,2014-10-10,,partial,Yemen,24933945,24591,13.9,8.33,75.73,Turkoman,Shia Islam,low,5,2024-10-09,7.8,3,3,7,2294135,308791,water,low,low,63,31,3
1745,Iran,terrorism,2014-10-11,,75,954,1745,Yemen,Red Cross,military,2014-10-11,2023-01-01,no,Iran,1929259,42111,49.34,44.18,76.79,Kurd,Christianity,medium,15,2024-10-10,5.19,1,3,7,810101,2443904,water,medium,low,57,7,5
1746,Iran,terrorism,2014-10-12,2023-01-01,82,245,1746,Yemen,NATO,diplomatic,2014-10-12,2023-01-01,yes,Iraq,37751182,18565,23.42,9.16,72.76,Baluchi,Shia Islam,low,14,2024-10-11,9.18,9,1,7,2334503,1776860,food,medium,high,2,32,9
1747,Yemen,terrorism,2014-10-13,,75,480,1747,Iraq,Red Cross,humanitarian,2014-10-13,2023-01-01,yes,Iraq,11043465,33562,22.17,20.99,86.1,Arab,Sunni Islam,high,18,2024-10-12,7.74,3,6,4,1552640,2428353,food,low,medium,89,21,2
1748,Iran,civil war,2014-10-14,,15,167,1748,Iraq,UN,humanitarian,2014-10-14,,yes,Afghanistan,25537359,19672,5.02,29.86,83.92,Baluchi,Sunni Islam,low,5,2024-10-13,9.99,1,1,8,4997907,1595457,food,low,medium,19,45,3
1749,Afghanistan,territorial conflict,2014-10-15,2023-01-01,44,953,1749,Syria,Red Cross,diplomatic,2014-10-15,2023-01-01,no,Yemen,17552761,22285,20.97,45.85,60.79,Persian,Christianity,medium,16,2024-10-14,2.39,5,6,6,1370028,2314133,food,medium,medium,10,48,5
1750,Iran,territorial conflict,2014-10-16,2023-01-01,65,309,1750,Iran,Red Cross,humanitarian,2014-10-16,2023-01-01,partial,Afghanistan,28353373,18976,34.87,15.41,73.41,Turkoman,Sunni Islam,high,18,2024-10-15,7.27,2,3,6,3687342,2071170,medicine,high,high,33,18,6
1751,Afghanistan,territorial conflict,2014-10-17,2023-01-01,30,31,1751,Yemen,Red Cross,humanitarian,2014-10-17,,partial,Iran,21575083,23061,46.55,9.68,73.66,Arab,Shia Islam,high,1,2024-10-16,6.14,2,3,7,4877028,2012168,food,medium,medium,69,37,9
1752,Yemen,terrorism,2014-10-18,2023-01-01,27,792,1752,Yemen,Red Cross,humanitarian,2014-10-18,2023-01-01,no,Iran,36627791,25287,7.81,20.04,76.93,Kurd,Christianity,medium,4,2024-10-17,4.69,2,6,2,1949489,1442305,shelter,medium,medium,88,28,3
1753,Yemen,civil war,2014-10-19,2023-01-01,39,735,1753,Syria,UN,humanitarian,2014-10-19,,yes,Syria,6332052,22429,6.17,33.0,61.57,Kurd,Sunni Islam,high,18,2024-10-18,9.69,1,8,2,4519484,2018243,water,low,medium,70,35,3
1754,Yemen,terrorism,2014-10-20,,44,642,1754,Afghanistan,Red Cross,military,2014-10-20,,partial,Iran,17947738,49742,38.54,35.52,83.88,Arab,Shia Islam,medium,10,2024-10-19,6.82,3,2,5,2906254,761979,food,low,medium,92,5,8
1755,Iraq,civil war,2014-10-21,2023-01-01,66,681,1755,Syria,NATO,humanitarian,2014-10-21,2023-01-01,no,Afghanistan,12604613,49801,46.65,52.38,93.79,Persian,Christianity,high,16,2024-10-20,8.79,9,7,2,2068868,1886443,shelter,high,high,47,47,7
1756,Yemen,civil war,2014-10-22,,62,250,1756,Syria,NATO,diplomatic,2014-10-22,,yes,Syria,20003424,24211,22.81,54.3,98.86,Kurd,Sunni Islam,low,17,2024-10-21,5.66,9,1,2,784970,2676833,medicine,high,medium,44,39,5
1757,Afghanistan,terrorism,2014-10-23,,49,351,1757,Iraq,UN,military,2014-10-23,,partial,Iran,38417102,6356,30.68,33.1,70.98,Arab,Christianity,low,18,2024-10-22,7.1,1,5,2,4535253,1251665,shelter,high,high,34,38,9
1758,Iran,civil war,2014-10-24,2023-01-01,35,3,1758,Yemen,Red Cross,military,2014-10-24,,no,Iraq,14841978,49872,45.34,10.8,72.77,Persian,Sunni Islam,medium,12,2024-10-23,6.06,7,9,5,1503576,173641,shelter,high,low,62,32,3
1759,Afghanistan,civil war,2014-10-25,,11,971,1759,Syria,UN,diplomatic,2014-10-25,,no,Yemen,2008461,14586,18.63,40.07,50.64,Turkoman,Christianity,medium,8,2024-10-24,4.95,2,8,6,1293521,2004302,medicine,low,low,9,33,6
1760,Iraq,civil war,2014-10-26,2023-01-01,5,972,1760,Yemen,UN,diplomatic,2014-10-26,2023-01-01,yes,Iraq,32326370,42088,33.25,20.54,83.67,Turkoman,Christianity,medium,16,2024-10-25,4.86,7,9,6,2478100,508094,water,medium,medium,36,11,1
1761,Iran,civil war,2014-10-27,,95,935,1761,Syria,Red Cross,humanitarian,2014-10-27,2023-01-01,yes,Iran,16287074,47173,48.63,49.5,52.37,Persian,Sunni Islam,medium,18,2024-10-26,9.17,8,8,1,3541104,1600940,shelter,low,high,80,39,9
1762,Afghanistan,territorial conflict,2014-10-28,,25,470,1762,Iraq,UN,military,2014-10-28,,yes,Yemen,14172329,41229,18.0,25.7,78.99,Persian,Shia Islam,medium,11,2024-10-27,2.81,2,7,0,4466774,2734593,medicine,high,medium,34,13,9
1763,Afghanistan,civil war,2014-10-29,2023-01-01,84,328,1763,Yemen,Red Cross,diplomatic,2014-10-29,,yes,Afghanistan,30419173,36117,9.94,55.75,58.84,Arab,Sunni Islam,high,16,2024-10-28,4.15,1,4,5,3310337,2295407,water,low,medium,21,44,6
